,user,text,favorite_count,retweet_count,created_at
178,elonmusk,@nichegamer All unpaid legacy Blue checkmarks will be removed in a few months,14747,1658,2022-11-16 00:03:07+00:00
179,elonmusk,"@RationalBlonde With new release, changing your verified name will cause loss of checkmark until name is confirmed by Twitter to meet Terms of Service",10041,599,2022-11-15 23:26:28+00:00
180,elonmusk,@RationalBlonde 🤣,12142,268,2022-11-15 23:24:25+00:00
181,elonmusk,@TweetsOfJee @RationalBlonde 🤣,24653,612,2022-11-15 23:23:37+00:00
182,elonmusk,Punting relaunch of Blue Verified to November 29th to make sure that it is rock solid,227065,15358,2022-11-15 23:18:02+00:00
183,elonmusk,@business False,171780,7694,2022-11-15 23:02:52+00:00
184,elonmusk,@mrjasonchoi @nytimes Interesting thread,12244,636,2022-11-15 22:57:09+00:00
185,elonmusk,"@SenBillNelson @NASA @SpaceX Much appreciated, SpaceX will not let NASA down!",42455,2348,2022-11-15 22:54:56+00:00
186,elonmusk,Important to admit when I’m wrong &amp; firing them was truly one of my biggest mistakes,470601,21040,2022-11-15 20:43:17+00:00
187,elonmusk,Welcoming back Ligma &amp; Johnson! https://t.co/LEhXV95Njj,766074,49287,2022-11-15 20:40:54+00:00
188,elonmusk,@BillyM2k Actual Silicon Valley is way crazier!,10574,577,2022-11-15 19:50:14+00:00
189,elonmusk,"@waitbutwhy This is just as a result of people living longer. Population collapse is already built-in, due to dramatically decreasing birth rates.",14830,1030,2022-11-15 19:36:37+00:00
190,elonmusk,@jack @micsolana 💯,8315,303,2022-11-15 19:31:39+00:00
191,elonmusk,@elonchieftwit False,3288,170,2022-11-15 19:29:21+00:00
192,elonmusk,@mualphaxi @micsolana @JTLonsdale @SenMarkey Much appreciated,11667,552,2022-11-15 19:28:37+00:00
193,elonmusk,@presidentbison @schrep Schrep is great,1979,84,2022-11-15 18:22:20+00:00
194,elonmusk,@libsoftiktok A tragic case of adult onset Tourette’s,72526,3844,2022-11-15 18:18:29+00:00
